CodigoOrganismo;NombreOrganismo;CodigoOC;LinkMP;NombreOC;CodigoEstado;EstadoOC;CodigoLicitacion;TipoOC;TipoMoneda;Financiamiento;FormaPago;TipoDespacho;Pais;FechaCreacion;FechaEnvio;FechaAceptacion;FechaCancelacion;FechaUltimaModificacion;PromedioCalificacion;CantidadEvaluacion;TotalNeto;PorcentajeIva;Impuestos;TotalBruto;C_CodigoUnidad;C_Unidad;C_RutUnidad;C_Actividad;C_Direccion;C_Comuna;C_Region;C_Contacto;C_Cargo;C_Email;P_Codigo;P_Nombre;P_Rut;P_Actividad;P_Direccion;P_Comuna;P_Region;P_Contacto;P_Cargo;P_Email;DescripcionOC
1238659;Hospital Futa Srüka Lawenche Kunko Mapu Mo;1057535-338-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057535-338-CC24;SERVICIO ARRIENDO IMPRESORAS JUNIO 2024;12;Recepción Conforme;1057532-15-LQ23;CC;CLP;;2;9;Other;2024-07-12T13:15:52.997;2024-07-12T15:59:43.423;2024-07-17T09:02:20.1;;2024-07-18T14:43:00;4.513513513513513;37;562797.0;19.0;106932.0;669729.0;1057535;Bienes y Servicios;61.980.070-2;Servicio Público;Sin dirección Registrada para Unidad de Compra;San Juan de La Costa;Región de los Lagos ;Fredy Isaac Luna Igor;Jefe Abastecimiento;;62706;OPCIONES SA SISTEMAS DE INFORMACION;96.523.180-3;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| COME;Seminario  N° 372;Puerto Montt;Región de los Lagos ;Daniela  Vidal;Supervisor de compras;;SERVICIO ARRIENDO IMPRESORAS JUNIO 2024					    LICITACIÓN ID 1057532-15-LQ23 DEL SSO    Valor dólar considerado al 28.06.2024   $951,02
1238659;Hospital Futa Srüka Lawenche Kunko Mapu Mo;1057535-257-CC24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057535-257-CC24;MANTENCION ASCENSORES JUNIO 2024;12;Recepción Conforme;1057532-113-CO23;CC;CLP;;2;9;CL;2024-05-29T10:57:25.29;2024-05-29T15:24:16.993;2024-06-25T17:07:43.193;;2024-07-18T14:40:00;5.0;1;230000.0;19.0;43700.0;273700.0;1057535;Bienes y Servicios;61.980.070-2;Servicio Público;Bienes y Servicios;San Juan de La Costa;Región de los Lagos ;Fredy Isaac Luna Igor;Jefe Abastecimiento;;163657;INMOBILIARIA E INVERSIONES D & M LIMITADA;76.348.530-7;REPARACION DE EQUIPO DE ELEVACION Y MANIPULACION|;THIERS N° 895;Temuco;Región de la Araucanía ;Marcelo Federico Danke de la Harpe;Gerente General;;MANTENCION ASCENSORES JUNIO 2024				    LIC. ID 1057532-113-CO23 DEL SSO
1238659;Hospital Futa Srüka Lawenche Kunko Mapu Mo;1057535-331-CM24;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057535-331-CM24;COMPRA DIESEL B P/MOVILES JULIO 2024;12;Recepción Conforme;;CM;CLP;;2;12;CL;2024-07-09T15:20:44.477;2024-07-10T10:41:51.897;2024-07-18T11:42:41.733;;2024-07-18T14:47:00;4.0;126;3000000.0;0.0;0.0;3000000.0;1057535;Bienes y Servicios;61.980.070-2;Servicio Público;Bienes y Servicios;San Juan de La Costa;Región de los Lagos ;Fredy Isaac Luna Igor;;;26741;COPEC S.A.;99.520.000-7;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS| VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;5 DE ABRIL N° 6198;;;;Contacto;;COMPRA DIESEL B P/MOVILES JULIO 2024  Orden de Compra codigo: 1057535-331-CM24 dirigida a COPEC S.A.
