CodigoOrganismo;NombreOrganismo;CodigoOC;LinkMP;NombreOC;CodigoEstado;EstadoOC;CodigoLicitacion;TipoOC;TipoMoneda;Financiamiento;FormaPago;TipoDespacho;Pais;FechaCreacion;FechaEnvio;FechaAceptacion;FechaCancelacion;FechaUltimaModificacion;PromedioCalificacion;CantidadEvaluacion;TotalNeto;PorcentajeIva;Impuestos;TotalBruto;C_CodigoUnidad;C_Unidad;C_RutUnidad;C_Actividad;C_Direccion;C_Comuna;C_Region;C_Contacto;C_Cargo;C_Email;P_Codigo;P_Nombre;P_Rut;P_Actividad;P_Direccion;P_Comuna;P_Region;P_Contacto;P_Cargo;P_Email;DescripcionOC
7287;Hospital Puerto Octay;2059-118-AG26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2059-118-AG26;R 31 SODIO CLORURO 0,9% 250 ML 2059-40-COT26;12;Recepción Conforme;;AG;CLP;359;2;7;Other;2026-03-12T15:27:58.427;2026-03-12T16:26:33.427;2026-03-16T11:14:57.653;;2026-03-12T15:29:00;0.0;0;252000.0;19.0;47880.0;299880.0;3054;HOSPITAL DE PUERTO OCTAY;61.602.261-k;;;Puerto Octay;Región de los Lagos ;Sady Luis Pérez Oyarzún;Administrativo;;1627523;CLICKMEDICAL SPA;76.880.563-6;Importación de insumos médicos y asesorías y VENTA AL POR MAYOR DE INSTRUMENTOS;nueva providencia 1945 of 613;Providencia;Región Metropolitana de Santiago;Diego harry Huechacona Silva;Co Funder;;Orden de Compra codigo: 2059-118-AG26 dirigida a CLICKMEDICAL SPA
7287;Hospital Puerto Octay;2059-80-CC26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2059-80-CC26;Mantención Correctiva SD.ZR-45;12;Recepción Conforme;1057532-101-LQ24;CC;CLP;204;2;22;CL;2026-02-17T12:07:40.05;2026-02-17T15:56:11.123;2026-02-24T10:21:45.287;;2026-02-17T12:16:00;4.0;44;314354.0;19.0;59727.0;374081.0;3054;HOSPITAL DE PUERTO OCTAY;61.602.261-k;;Pedro Montt 601;* ;Región de los Lagos ;Sady Luis Pérez Oyarzún;Administrativo;;26855;KAUFMANN S A VEHICULOS MOTORIZADOS;92.475.000-6;VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES (IMPOR;Sebastopol # 2205, Parque Industrial Anticura;Ancud;Región de los Lagos ;Eduardo  Mansilla (Servicio);Jefe Taller;;Mantención Correctiva realizada en Ambulancia Mercedes-Benz Sprinter   OT 205294469//22.06.002.002
7287;Hospital Puerto Octay;2059-78-CC26;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2059-78-CC26;Mantención Preventiva de los 270.000 km. en Ambulancia M. Benz  Sprinter;12;Recepción Conforme;1057532-101-LQ24;CC;CLP;193;2;22;CL;2026-02-16T16:00:39.633;2026-02-17T09:28:41.113;2026-02-24T10:18:51.5;;2026-02-16T16:09:00;4.0;44;907050.0;19.0;172340.0;1079390.0;3054;HOSPITAL DE PUERTO OCTAY;61.602.261-k;;Pedro Montt 601;* ;Región de los Lagos ;Sady Luis Pérez Oyarzún;Administrativo;;26855;KAUFMANN S A VEHICULOS MOTORIZADOS;92.475.000-6;VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES (IMPOR;Sebastopol # 2205, Parque Industrial Anticura;Ancud;Región de los Lagos ;Eduardo  Mansilla (Servicio);Jefe Taller;;MANTENCIÓN PREVENTIVA SERVICIO DE LOS 270.000 KM. EN AMBULANCIA MERCEDES BENZ SPRINTER, PPU: SD.ZR-45 DE DOTACIÓN DEL HOSPITAL PUERTO OCTAY // OT 205290973 // 22.06.002.001
