CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-940-COT25;78.211.641-K;83111602;Comunicación por satélite o terrestre;Servicio de Internet + Telefonía Fija, de acuerdo a Especificaciones Técnicas Adjuntas.;1;168000;168000
1057532-934-COT25;76.156.939-2;26111711;Baterías de litio;25 BATERÍAS IMPRESS P/N: PMNN P/N: PMNN4493A DE LARGA DURACIÓN;25;113750;2843750
1057532-934-COT25;77.160.299-1;26111711;Baterías de litio;25 BATERÍAS IMPRESS P/N: PMNN P/N: PMNN4493A DE LARGA DURACIÓN;25;120000;3000000
1057532-934-COT25;76.156.939-2;26111711;Baterías de litio;25 BATERÍAS IMPRESS P/N: PMNN P/N: PMNN4493A DE LARGA DURACIÓN;25;165750;4143750
1057532-934-COT25;76.052.735-1;26111711;Baterías de litio;25 BATERÍAS IMPRESS P/N: PMNN P/N: PMNN4493A DE LARGA DURACIÓN;25;174972;4374300
