CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057727-64-COT25;78.104.303-6;80141607;Producción de eventos;1 contratación de una productora para la realización de un evento Full Day aniversario del Hospital Purranque. Debe contemplar recinto en Purranque para el dia 24 de octubre para 150 personas aprox., implementación técnica, alimentación, animación, actividades recreativas y premiación, decoración y registro fotográfico de cada jornada.;1;4350000;4350000
1057727-64-COT25;77.780.708-0;80141607;Producción de eventos;1 contratación de una productora para la realización de un evento Full Day aniversario del Hospital Purranque. Debe contemplar recinto en Purranque para el dia 24 de octubre para 150 personas aprox., implementación técnica, alimentación, animación, actividades recreativas y premiación, decoración y registro fotográfico de cada jornada.;1;4369748;4369748
1077241-106-COT25;77.536.654-0;48101714;Dispensadores de agua caliente o termos;Termo sifón agua caliente de acero inoxidable, capacidad de 3 a 3,5 litros.;1;29490;29490
1077241-106-COT25;76.790.324-3;48101714;Dispensadores de agua caliente o termos;Termo sifón agua caliente de acero inoxidable, capacidad de 3 a 3,5 litros.;1;100000;100000
